BEER,CAL,SOD,ALC,COST
Budweiser,144,15,4.7,0.43
Schlitz,151,19,4.9,0.43
Lowenbrau,157,15,4.9,0.48
Kronenbourg,170,7,5.2,0.73
Heineken,152,11,5,0.77
Old Mil,145,23,4.6,0.28
Augsburger,175,24,5.5,0.4
Strohs,149,27,4.7,0.42
Miller lite,99,10,4.3,0.43
Bud light,113,8,3.7,0.44
Coors,140,18,4.6,0.44
Coors lite,102,15,4.1,0.45
Michelob light,135,11,4.2,0.5
Becks,150,19,4.7,0.76
Kirin,149,6,5,0.79
Pabst,68,15,2.3,0.38
Hamms,136,19,4.4,0.43
Heilemans,144,24,4.9,0.43
Olympia,72,6,2.9,0.46
Schilitz lite,97,7,4.2,0.47
